@relation trainingset

@attribute age numeric
@attribute job {JobCat6,JobCat9,JobCat11,JobCat10,JobCat4,JobCat1,JobCat2,JobCat7,JobCat3,JobCat8,JobCat5,unknown}
@attribute marital {married,single,divorced}
@attribute education {tertiary,secondary,unknown,primary,low}
@attribute gender {m,f}
@attribute incumbent {yes,no}
@attribute profile {low,med,high}
@attribute party {SF,FG,NP,FF,PBP,Renu,SDP,LAB}
@attribute outcome {eliminated,elected}

@data
35,JobCat3,married,secondary,m,yes,low,FG,eliminated
35,JobCat9,married,secondary,m,yes,low,FG,eliminated
53,JobCat9,married,secondary,m,no,low,FG,eliminated
44,JobCat9,married,secondary,m,yes,low,FG,eliminated
41,JobCat11,married,secondary,m,yes,low,FG,eliminated
45,JobCat9,single,unknown,m,yes,low,FG,eliminated
48,JobCat6,married,secondary,m,yes,low,FG,eliminated
56,JobCat9,married,secondary,m,yes,low,FG,elected
34,JobCat3,married,unknown,m,yes,low,FG,eliminated
33,JobCat6,single,secondary,m,yes,low,FG,eliminated
30,JobCat3,single,secondary,m,yes,low,FG,eliminated
36,JobCat6,single,tertiary,m,yes,low,FG,eliminated
35,JobCat1,single,tertiary,m,no,low,FG,eliminated
40,JobCat7,divorced,secondary,m,no,low,FG,eliminated
59,JobCat3,married,primary,m,yes,low,FG,eliminated
51,JobCat3,married,primary,m,yes,low,FG,eliminated
36,JobCat6,single,tertiary,m,yes,low,FG,eliminated
42,JobCat3,married,secondary,m,yes,low,FG,eliminated
35,JobCat6,married,tertiary,m,yes,low,FG,eliminated
41,JobCat7,married,secondary,m,yes,low,FG,elected
28,JobCat9,single,secondary,m,yes,low,FG,eliminated
34,JobCat9,married,secondary,m,yes,low,FG,eliminated
58,JobCat6,married,tertiary,m,yes,low,FG,eliminated
42,JobCat3,married,primary,m,yes,low,FG,eliminated
41,JobCat3,married,secondary,m,yes,low,FG,eliminated
43,JobCat9,married,secondary,m,yes,low,FG,eliminated
28,JobCat9,single,secondary,f,no,low,FG,eliminated
43,JobCat9,single,secondary,f,yes,low,FG,eliminated
32,JobCat11,single,secondary,m,no,low,FG,eliminated
44,JobCat6,married,primary,m,yes,low,FG,eliminated
31,JobCat3,married,secondary,m,yes,low,FG,eliminated
47,JobCat11,married,secondary,m,yes,low,FG,eliminated
47,JobCat3,married,secondary,m,yes,low,FG,eliminated
33,JobCat9,married,secondary,m,yes,low,FG,eliminated
29,JobCat7,single,secondary,m,yes,low,FG,eliminated
35,JobCat10,single,tertiary,m,yes,low,FG,eliminated
37,JobCat6,divorced,tertiary,m,yes,low,FG,eliminated
56,JobCat11,divorced,secondary,m,no,low,FG,eliminated
53,JobCat4,married,unknown,m,no,low,FG,eliminated
45,JobCat3,married,primary,m,yes,low,FG,eliminated
35,JobCat3,single,secondary,m,yes,low,FG,eliminated
35,JobCat7,single,secondary,m,yes,low,FG,eliminated
40,JobCat7,single,secondary,m,yes,low,FG,eliminated
36,JobCat3,married,secondary,m,yes,low,FG,eliminated
41,JobCat9,married,secondary,m,no,low,FG,eliminated
41,JobCat3,married,secondary,m,no,low,FG,elected
45,JobCat3,married,secondary,m,yes,low,FG,eliminated
52,JobCat11,divorced,secondary,m,no,low,FG,eliminated
35,JobCat6,married,primary,m,no,low,FG,eliminated
35,JobCat6,single,tertiary,m,yes,low,FG,eliminated
48,JobCat3,married,primary,m,no,low,FG,eliminated
33,JobCat6,married,tertiary,m,yes,low,FG,eliminated
42,JobCat6,married,tertiary,m,no,low,FG,eliminated
30,JobCat3,single,secondary,m,yes,low,FG,elected
50,JobCat8,single,tertiary,m,yes,low,FG,eliminated
28,JobCat6,married,tertiary,m,no,low,FG,eliminated
30,JobCat6,married,tertiary,m,yes,low,FG,eliminated
44,JobCat9,married,secondary,m,yes,low,FG,eliminated
48,JobCat6,single,tertiary,m,yes,low,FG,eliminated
37,JobCat7,married,secondary,m,yes,low,FG,eliminated
47,JobCat11,single,secondary,m,yes,low,FG,eliminated
59,JobCat9,divorced,secondary,m,yes,low,FG,eliminated
36,JobCat4,married,tertiary,m,no,low,FG,eliminated
54,JobCat3,married,secondary,m,yes,low,FG,eliminated
51,JobCat6,married,tertiary,m,yes,low,FG,eliminated
47,JobCat3,married,primary,m,no,low,FG,eliminated
32,JobCat3,married,primary,m,yes,low,FG,eliminated
43,JobCat6,single,tertiary,m,yes,low,FG,eliminated
34,JobCat3,married,secondary,m,no,low,FG,eliminated
45,JobCat6,single,tertiary,m,yes,low,FG,eliminated
44,JobCat9,married,secondary,m,yes,low,FG,eliminated
59,JobCat4,married,primary,m,yes,low,FG,eliminated
40,JobCat11,single,secondary,m,yes,low,FG,eliminated
28,JobCat7,divorced,secondary,m,yes,low,FG,eliminated
31,JobCat6,married,tertiary,m,yes,low,FG,eliminated
34,JobCat8,single,tertiary,m,no,low,FG,eliminated
42,JobCat3,divorced,secondary,m,yes,low,FG,eliminated
53,JobCat8,married,secondary,m,yes,low,FG,eliminated
40,JobCat9,married,secondary,m,yes,low,FG,eliminated
45,JobCat7,married,secondary,m,yes,low,FG,eliminated
31,JobCat3,married,secondary,m,yes,low,FG,eliminated
51,JobCat6,married,tertiary,m,yes,low,FG,eliminated
31,JobCat9,married,tertiary,m,yes,low,FG,eliminated
30,JobCat7,married,secondary,m,yes,low,FG,eliminated
40,JobCat6,single,secondary,m,no,low,FG,eliminated
56,JobCat2,married,secondary,m,no,low,FG,eliminated
34,JobCat9,married,secondary,m,yes,low,FG,eliminated
32,JobCat3,married,secondary,m,yes,low,FG,eliminated
32,JobCat9,single,tertiary,m,yes,low,FG,eliminated
45,JobCat9,divorced,secondary,m,no,low,FG,eliminated
28,JobCat3,married,secondary,m,yes,low,FG,eliminated
46,JobCat7,divorced,secondary,m,yes,low,FG,eliminated
29,JobCat6,single,tertiary,m,yes,low,FG,eliminated
48,JobCat3,married,primary,m,yes,low,FG,eliminated
32,JobCat3,married,secondary,m,yes,low,FG,eliminated
33,JobCat9,married,secondary,m,yes,low,FG,eliminated
29,JobCat6,married,tertiary,m,yes,low,FG,eliminated
34,JobCat6,married,tertiary,m,no,low,FG,eliminated
45,JobCat3,married,secondary,m,yes,low,FG,eliminated
29,JobCat11,married,secondary,m,yes,low,FG,eliminated
51,JobCat8,married,primary,m,yes,low,FG,eliminated
44,JobCat7,married,secondary,m,yes,low,FG,eliminated
41,JobCat4,married,tertiary,m,yes,low,FG,eliminated
58,JobCat8,married,tertiary,m,yes,low,FG,eliminated
55,JobCat3,divorced,secondary,m,no,low,FG,eliminated
30,JobCat7,divorced,secondary,m,yes,low,FG,eliminated
37,JobCat6,single,tertiary,m,yes,low,FG,eliminated
29,JobCat6,single,tertiary,m,yes,low,FG,eliminated
30,JobCat3,single,secondary,m,yes,low,FG,eliminated
31,JobCat6,single,tertiary,m,yes,low,FG,eliminated
29,JobCat6,married,tertiary,m,yes,low,FG,eliminated
54,JobCat6,married,tertiary,m,yes,low,FG,eliminated
31,JobCat6,married,tertiary,m,no,low,FG,eliminated
31,JobCat6,married,tertiary,m,yes,low,FG,eliminated
40,JobCat6,married,tertiary,m,yes,low,FG,eliminated
52,JobCat2,married,secondary,m,no,low,FG,eliminated
29,JobCat9,single,secondary,m,yes,low,FG,eliminated
30,JobCat4,married,tertiary,m,yes,low,FG,eliminated
34,JobCat8,married,secondary,m,yes,low,FG,eliminated
52,JobCat8,married,secondary,m,no,low,FG,eliminated
43,JobCat6,married,tertiary,m,no,low,FG,eliminated
49,JobCat6,married,tertiary,m,no,low,FG,eliminated
31,JobCat9,married,secondary,m,no,low,FG,eliminated
28,JobCat6,single,tertiary,m,yes,low,FG,eliminated
30,JobCat10,single,tertiary,m,yes,low,FG,eliminated
46,JobCat3,married,secondary,m,yes,low,FG,eliminated
28,JobCat3,single,secondary,f,no,low,FG,eliminated
53,JobCat2,married,tertiary,m,no,low,FG,eliminated
30,JobCat9,divorced,secondary,m,no,low,FG,eliminated
40,JobCat5,married,secondary,m,no,low,FG,eliminated
31,JobCat6,single,tertiary,m,yes,low,FG,eliminated
59,JobCat1,married,primary,m,yes,low,FG,eliminated
35,JobCat3,married,secondary,m,yes,low,FG,elected
58,JobCat3,divorced,primary,m,yes,low,FG,eliminated
44,JobCat9,single,secondary,m,yes,low,FG,eliminated
58,JobCat3,married,primary,m,yes,low,FG,eliminated
58,JobCat3,married,secondary,m,no,low,FG,eliminated
37,JobCat6,married,secondary,m,no,low,FG,eliminated
52,JobCat3,married,secondary,m,no,low,FG,eliminated
48,JobCat3,married,secondary,m,yes,low,FG,eliminated
59,JobCat2,married,secondary,m,no,low,FG,eliminated
31,JobCat4,married,secondary,m,yes,low,FG,eliminated
47,JobCat11,divorced,secondary,m,yes,low,FG,eliminated
42,JobCat6,married,tertiary,m,yes,low,FG,eliminated
28,JobCat3,married,primary,m,yes,low,FG,eliminated
59,JobCat2,married,secondary,m,no,low,FG,eliminated
46,JobCat4,married,primary,m,yes,low,FG,eliminated
40,JobCat9,married,secondary,m,yes,low,FG,eliminated
55,JobCat2,married,secondary,m,no,low,FG,eliminated
46,JobCat10,divorced,secondary,m,yes,low,FG,elected
45,JobCat8,married,secondary,m,no,low,FG,eliminated
31,JobCat8,single,secondary,m,yes,low,FG,eliminated
47,JobCat10,married,secondary,m,yes,low,FG,eliminated
36,JobCat9,single,secondary,m,yes,low,FG,eliminated
32,JobCat1,married,tertiary,m,yes,low,FG,eliminated
46,JobCat4,single,tertiary,m,yes,low,FG,eliminated
52,JobCat8,divorced,secondary,m,yes,low,FG,eliminated
57,JobCat3,married,secondary,m,yes,low,FG,eliminated
31,JobCat3,married,primary,m,yes,low,FG,eliminated
56,JobCat7,married,primary,m,yes,low,FG,eliminated
40,JobCat11,married,secondary,m,no,low,FG,eliminated
34,JobCat11,single,tertiary,m,no,low,FG,eliminated
36,JobCat3,married,primary,m,yes,low,FG,eliminated
35,JobCat9,married,secondary,m,yes,low,FG,eliminated
50,JobCat11,married,secondary,m,no,low,FG,eliminated
54,unknown,divorced,tertiary,m,yes,low,FG,eliminated
43,JobCat6,married,primary,m,yes,low,FG,eliminated
35,JobCat6,single,tertiary,m,yes,low,FG,eliminated
53,JobCat3,single,secondary,m,yes,low,FG,eliminated
40,JobCat11,single,secondary,m,no,low,FG,elected
50,JobCat6,married,tertiary,m,yes,low,FG,eliminated
28,JobCat6,married,tertiary,m,yes,low,FG,eliminated
58,JobCat2,divorced,primary,m,yes,low,FG,eliminated
47,JobCat3,married,secondary,m,yes,low,FG,eliminated
37,JobCat6,married,tertiary,m,yes,low,FG,eliminated
37,JobCat6,single,tertiary,m,no,low,FG,eliminated
50,JobCat3,married,tertiary,m,no,low,FG,eliminated
52,JobCat9,married,unknown,m,yes,low,FG,eliminated
31,JobCat6,single,tertiary,m,yes,low,FG,eliminated
45,JobCat6,married,tertiary,m,yes,low,FG,eliminated
59,JobCat4,married,primary,m,no,low,FG,eliminated
53,JobCat6,married,tertiary,m,no,low,FG,eliminated
54,JobCat8,married,primary,m,yes,low,FG,eliminated
31,JobCat6,married,tertiary,m,no,low,FG,eliminated
40,JobCat6,married,tertiary,m,yes,low,FG,elected
33,JobCat6,married,tertiary,m,yes,low,FG,eliminated
44,JobCat3,married,secondary,m,yes,low,FG,eliminated
45,JobCat4,married,tertiary,m,yes,low,FG,eliminated
44,JobCat3,single,primary,m,yes,low,FG,elected
55,JobCat4,married,tertiary,m,no,low,FG,eliminated
33,JobCat6,married,tertiary,m,yes,low,FG,elected
29,JobCat6,married,tertiary,m,yes,low,FG,elected
30,JobCat9,married,secondary,m,yes,low,FG,eliminated
33,JobCat6,divorced,tertiary,m,no,low,FG,elected
55,JobCat8,married,secondary,m,yes,low,FG,eliminated
36,JobCat9,single,tertiary,m,yes,low,FG,eliminated
41,JobCat6,single,tertiary,m,no,low,FG,eliminated
32,JobCat4,married,secondary,m,yes,low,FG,eliminated
32,JobCat11,married,secondary,m,yes,low,FG,eliminated
29,JobCat7,single,secondary,m,yes,low,FG,eliminated
37,JobCat3,married,secondary,m,yes,low,FG,eliminated
52,JobCat6,married,primary,f,yes,low,FG,eliminated
42,JobCat3,married,secondary,m,yes,low,FG,eliminated
40,JobCat9,single,secondary,m,no,low,FG,eliminated
31,JobCat9,married,secondary,m,yes,low,FG,eliminated
30,JobCat3,married,primary,m,no,low,FG,eliminated
31,JobCat3,married,primary,m,yes,low,FG,eliminated
30,JobCat3,married,primary,m,yes,low,FG,eliminated
37,JobCat9,single,secondary,m,no,low,FG,elected
37,JobCat7,divorced,secondary,m,yes,low,FG,eliminated
45,JobCat6,married,tertiary,m,yes,low,FG,eliminated
30,JobCat6,single,tertiary,m,yes,low,FG,eliminated
41,JobCat3,married,primary,m,yes,low,FG,eliminated
35,JobCat4,married,tertiary,m,yes,low,FG,eliminated
28,JobCat3,married,secondary,m,yes,low,FG,eliminated
48,JobCat7,divorced,secondary,m,yes,low,FG,eliminated
36,JobCat3,married,primary,m,no,low,FG,eliminated
29,JobCat9,married,secondary,m,no,low,FG,eliminated
37,JobCat3,single,secondary,m,yes,low,FG,eliminated
30,JobCat7,married,secondary,m,yes,low,FG,eliminated
52,JobCat4,married,tertiary,m,yes,low,FG,eliminated
29,JobCat3,single,secondary,m,no,low,FG,eliminated
28,JobCat7,married,primary,m,yes,low,FG,eliminated
46,JobCat9,divorced,secondary,m,yes,low,FG,eliminated
44,JobCat7,married,secondary,m,yes,low,FG,eliminated
34,JobCat10,married,secondary,m,yes,low,FG,eliminated
50,JobCat3,married,primary,m,yes,low,FG,eliminated
32,JobCat6,married,tertiary,m,yes,low,FG,elected
33,JobCat9,single,secondary,m,yes,low,FG,eliminated
35,JobCat9,single,secondary,m,no,low,FG,eliminated
31,JobCat4,married,tertiary,m,yes,low,FG,eliminated
31,JobCat9,divorced,secondary,m,yes,low,FG,eliminated
40,JobCat9,married,secondary,m,yes,low,FG,eliminated
47,JobCat3,married,primary,m,yes,low,FG,eliminated
36,JobCat7,divorced,primary,m,yes,low,FG,eliminated
55,JobCat11,married,secondary,m,yes,low,FG,eliminated
57,JobCat7,single,secondary,m,yes,low,FG,eliminated
40,JobCat11,married,secondary,m,yes,low,FG,eliminated
36,JobCat4,married,tertiary,m,yes,low,FG,eliminated
51,JobCat9,married,secondary,m,no,low,FG,eliminated
35,JobCat4,married,tertiary,m,yes,low,FG,eliminated
44,JobCat9,married,secondary,m,yes,low,FG,eliminated
30,JobCat7,married,secondary,m,yes,low,FG,eliminated
43,JobCat8,married,secondary,m,yes,low,FG,eliminated
31,JobCat5,single,tertiary,m,yes,low,FG,eliminated
32,JobCat6,married,secondary,m,yes,low,FG,eliminated
51,JobCat4,married,tertiary,m,yes,low,FG,eliminated
58,JobCat2,married,tertiary,m,no,low,FG,eliminated
33,JobCat11,married,secondary,m,yes,low,FG,eliminated
33,unknown,divorced,primary,m,no,low,FG,eliminated
52,JobCat1,married,secondary,m,yes,low,FG,elected
44,JobCat3,married,secondary,m,yes,low,FG,eliminated
40,JobCat6,divorced,tertiary,m,no,low,FG,eliminated
35,JobCat9,married,secondary,m,yes,low,FG,eliminated
29,JobCat11,married,secondary,m,yes,low,FG,eliminated
37,JobCat8,married,secondary,m,yes,low,FG,eliminated
35,JobCat3,divorced,secondary,m,yes,low,FG,eliminated
49,JobCat7,single,unknown,m,yes,low,FG,eliminated
53,JobCat4,married,secondary,m,yes,low,FG,eliminated
43,JobCat6,married,tertiary,m,yes,low,FG,eliminated
32,JobCat6,married,tertiary,m,no,low,FG,eliminated
45,JobCat4,divorced,tertiary,m,yes,low,FG,eliminated
31,JobCat3,married,secondary,m,yes,low,FG,eliminated
36,JobCat9,married,tertiary,m,no,low,FG,eliminated
37,JobCat6,single,tertiary,m,no,low,FG,eliminated
58,JobCat9,married,secondary,m,yes,low,FG,eliminated
56,JobCat3,divorced,primary,m,no,low,FG,eliminated
29,JobCat10,married,secondary,m,yes,low,FG,eliminated
32,JobCat11,single,secondary,m,yes,low,FG,eliminated
43,JobCat4,single,tertiary,m,no,low,FG,eliminated
30,JobCat3,single,secondary,m,yes,low,FG,eliminated
44,JobCat9,married,tertiary,m,yes,low,FG,elected
46,JobCat3,married,primary,m,yes,low,FG,eliminated
53,JobCat6,married,tertiary,m,no,low,FG,eliminated
57,JobCat9,single,secondary,m,yes,low,FG,eliminated
28,JobCat11,married,secondary,m,no,low,FG,eliminated
55,JobCat9,married,secondary,m,yes,low,FG,eliminated
53,JobCat6,single,secondary,m,yes,low,FG,eliminated
33,JobCat6,single,secondary,m,yes,low,FG,eliminated
45,JobCat1,married,tertiary,m,no,low,FG,eliminated
29,JobCat6,single,tertiary,m,yes,low,FG,eliminated
40,JobCat7,married,secondary,m,yes,low,FG,eliminated
50,JobCat6,divorced,tertiary,m,yes,low,FG,eliminated
35,JobCat11,single,secondary,m,yes,low,FG,eliminated
34,JobCat9,married,tertiary,m,no,low,FG,eliminated
58,JobCat2,divorced,unknown,m,yes,low,FG,eliminated
47,JobCat9,married,tertiary,f,yes,low,FG,eliminated
37,JobCat3,married,secondary,m,yes,low,FG,eliminated
29,JobCat6,single,tertiary,m,yes,low,FG,eliminated
45,JobCat6,divorced,tertiary,m,no,low,FG,eliminated
29,JobCat4,single,tertiary,f,yes,low,FG,elected
47,JobCat9,married,secondary,m,no,low,FG,eliminated
53,JobCat6,married,tertiary,m,no,low,FG,eliminated
30,JobCat3,married,primary,m,yes,low,FG,eliminated
29,JobCat3,married,primary,m,no,low,FG,eliminated
59,JobCat6,married,tertiary,m,no,low,FG,eliminated
33,JobCat3,single,primary,m,no,low,FG,eliminated
52,JobCat1,married,secondary,m,no,low,FG,eliminated
40,JobCat4,married,tertiary,m,yes,low,FG,eliminated
30,JobCat7,divorced,secondary,m,yes,low,FG,eliminated
44,JobCat3,married,secondary,m,no,low,FG,eliminated
48,JobCat9,married,secondary,m,yes,low,FG,eliminated
49,JobCat10,married,secondary,m,no,low,FG,eliminated
29,JobCat6,married,secondary,m,yes,low,FG,eliminated
32,JobCat7,married,secondary,m,yes,low,FG,eliminated
52,JobCat7,divorced,secondary,m,no,low,FG,eliminated
48,JobCat9,married,primary,m,yes,low,FG,eliminated
40,JobCat7,single,secondary,m,yes,low,FG,eliminated
45,JobCat9,divorced,secondary,m,no,low,FG,eliminated
54,JobCat9,married,secondary,m,no,low,FG,eliminated
29,JobCat11,married,secondary,m,yes,low,FG,eliminated
40,JobCat9,married,secondary,m,yes,low,FG,eliminated
35,JobCat6,married,tertiary,m,yes,low,FG,eliminated
40,JobCat3,married,secondary,m,yes,low,FG,eliminated
53,JobCat3,married,secondary,m,no,low,FG,eliminated
50,JobCat9,married,secondary,m,yes,low,FG,eliminated
33,JobCat8,single,tertiary,m,yes,low,FG,eliminated
29,JobCat9,single,tertiary,m,yes,low,FG,eliminated
32,JobCat9,married,secondary,m,yes,low,FG,eliminated
49,JobCat11,divorced,secondary,m,yes,low,FG,eliminated
40,JobCat6,married,secondary,m,no,low,FG,eliminated
40,JobCat7,married,secondary,m,yes,low,FG,eliminated
34,JobCat11,single,secondary,m,yes,low,FG,eliminated
37,JobCat6,married,tertiary,f,no,low,FG,eliminated
48,JobCat3,married,secondary,m,yes,low,FG,eliminated
37,JobCat6,single,tertiary,m,yes,low,FG,eliminated
57,JobCat7,married,secondary,m,yes,low,FG,eliminated
31,JobCat7,single,secondary,m,no,low,FG,eliminated
31,JobCat11,divorced,secondary,m,yes,low,FG,eliminated
58,JobCat6,divorced,tertiary,m,yes,low,FG,eliminated
40,JobCat3,married,primary,m,yes,low,FG,eliminated
32,JobCat9,divorced,secondary,m,yes,low,FG,eliminated
54,JobCat2,married,primary,m,no,low,FG,eliminated
37,JobCat11,married,secondary,m,no,low,FG,eliminated
41,JobCat7,married,secondary,m,yes,low,FG,eliminated
55,JobCat3,divorced,primary,m,yes,low,FG,eliminated
30,JobCat7,married,secondary,m,no,low,FG,eliminated
35,JobCat4,single,tertiary,m,no,low,FG,eliminated
52,JobCat6,married,tertiary,m,yes,low,FG,eliminated
40,JobCat6,married,secondary,m,yes,low,FG,eliminated
30,JobCat6,divorced,tertiary,m,no,low,FG,elected
29,unknown,married,secondary,m,no,low,FG,eliminated
29,JobCat11,single,secondary,m,yes,low,FG,eliminated
55,JobCat9,married,unknown,m,yes,low,FG,eliminated
55,JobCat2,divorced,secondary,m,no,low,FG,elected
40,JobCat7,married,secondary,m,yes,low,FG,eliminated
28,JobCat6,single,tertiary,m,no,low,FG,eliminated
45,JobCat7,divorced,secondary,m,yes,low,FG,eliminated
32,JobCat11,single,secondary,m,yes,low,FG,eliminated
58,JobCat6,divorced,tertiary,m,yes,low,FG,eliminated
35,JobCat7,single,secondary,m,no,low,FG,eliminated
30,JobCat11,married,secondary,m,yes,low,FG,eliminated
40,JobCat11,single,secondary,m,yes,low,FG,eliminated
45,JobCat9,single,tertiary,m,yes,low,FG,eliminated
41,JobCat9,married,secondary,m,yes,low,FG,eliminated
42,JobCat10,married,secondary,m,yes,low,FG,eliminated
55,JobCat1,divorced,tertiary,m,no,low,FG,eliminated
58,JobCat6,married,tertiary,m,no,low,FG,eliminated
34,JobCat6,married,tertiary,m,no,low,FG,eliminated
31,JobCat9,divorced,secondary,m,yes,low,FG,eliminated
28,JobCat9,married,secondary,m,yes,low,FG,eliminated
50,JobCat6,married,tertiary,m,yes,low,FG,eliminated
42,JobCat3,married,primary,m,yes,low,FG,eliminated
31,JobCat3,married,primary,m,yes,low,FG,eliminated
45,JobCat3,married,secondary,m,yes,low,FG,eliminated
31,JobCat6,divorced,tertiary,m,yes,low,FG,eliminated
42,JobCat8,divorced,secondary,m,yes,low,FG,eliminated
50,JobCat3,married,primary,m,no,low,FG,eliminated
32,JobCat6,married,tertiary,m,yes,low,FG,eliminated
47,JobCat1,married,tertiary,m,no,low,FG,eliminated
57,JobCat7,divorced,secondary,m,no,low,FG,eliminated
46,JobCat9,divorced,tertiary,m,yes,low,FG,eliminated
35,JobCat7,married,tertiary,m,yes,low,FG,eliminated
